  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
10.6,3.6,0,4.6,974.27,12.2,59.13,19.6,2.9
9.9,3.6,1,5.1,975.02,11.4,70.54,15.7,7.4
15.6,3.9,1,6.2,967.41,14.8,76.38,22.1,6.6
21.8,7.9,1,6.5,967.39,9.9,76.67,14.4,3.9
10.8,4,0,5.5,975.75,7.1,69.08,12.6,2.9
5.8,1.7,0,6.3,975.01,9,68.13,15,1.7
9.3,2.8,0,6.3,977.7,12.1,64.58,17.8,6.1
12.5,5.6,0,1,981.02,14.6,53.46,20.7,7.9
13.9,6,0,0.1,982.86,16.4,53.96,22.8,9.7
11.3,5,0,0,982.83,17.5,49.21,24.3,11
11.7,4.8,0,0.3,979.11,17.7,50,24.5,10.9
12.5,4.2,0,0,972.6,19,45.17,25.3,10.8
7.9,2.8,1,2.5,969.44,18.4,55.33,25.3,12.5
10.3,3.3,1,6.4,975.16,12.3,82.29,15,8.8
7.5,2.4,0,3.3,980.3,13.9,70.83,20,7.9
7.9,2.4,1,6,975.94,17.2,66.25,24.5,8.5
9.3,3.1,1,7.8,973.4,12.5,93.17,16.1,10.8
7.9,2.8,1,7.4,972.23,14.6,90.79,17.9,11.7
10.8,3.2,1,4.2,975.28,15.5,65.25,20.8,8.2
11.8,3,1,6.5,977.27,14.2,75.67,19.2,10.9
6.9,2.2,0,4.5,980.9,14.6,68.92,20.6,7.6
8.2,2.2,0,3.5,982.3,12.6,66.83,19.4,5.3
8.6,3.5,0,3,982.23,13.2,63.29,19.4,6.8
11.7,4.4,1,6.1,981.48,13.1,76.79,16.3,9.4
8.1,3,1,4.7,976.18,16.9,68.5,23.3,10.2
9.1,1.8,1,5.4,975.15,17.1,76.33,25.6,10.4
11.1,2.2,1,6.9,979.65,16.4,83.67,21.5,12.9
11.1,2.2,1,5.8,980.15,16.2,84.88,22.6,11.4
5.5,1.5,0,5.2,980.52,17.6,75,25.3,9.2
8.1,3.2,0,5.7,981.43,21.1,67.13,28.4,14.6
8.6,2.5,1,6.2,980.3,20.7,69.58,25,16.3
9.8,2.6,1,6.7,978.6,20.7,71.71,28.2,15
9.1,2.9,1,5.3,977.2,17.8,83.17,21.9,13.9
12.2,2.3,1,3.1,977.27,20.7,68.54,28,13.3
14.4,2.8,1,5.5,977.78,19.6,78.33,25.9,14
