  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
23.5,7.1,1,0,5.3,12.5,958.6,13.9,77,17.4,11.8,11.5
11.2,4.4,1,0,7,11.9,971,14.6,71,19.8,10.6,9.4
12,3.8,1,0,6,14.9,969.5,13.7,94,16.5,11.6,9.8
14.3,4.4,1,0,5.7,12.5,974.4,13.9,78,19.7,10.6,9.3
13.5,2,1,0,5,10.7,977.4,12,77,18.5,7.8,4.3
8.1,2.9,1,0,4,11.2,981,11,84,15.7,9.6,9.6
10,3.2,1,0,5,11.1,979.4,13.4,74,17.7,4.9,2.5
9.6,3.8,1,0,6.3,14.5,977.2,15.6,83,19.9,11.1,10.5
8.5,2.3,1,0,7.7,16.1,980.2,14.7,95,17,13.4,12.5
8,2.5,1,0,5,12.3,980.3,12.4,85,17.3,10.6,11
9.4,2.7,1,0,5,12.1,979.4,11.9,86,15.7,9.5,6.9
7.2,3,0,0,6.3,14,973.5,16.2,76,21,10.5,8.5
12.4,3,1,0,6.3,14.7,973.8,14.6,88,17.2,13.5,10.7
10.6,4.2,1,0,7,13.1,977.6,13.9,82,17.6,12,10.8
6.1,2.7,0,0,4,13.2,976.2,14.2,81,19.5,11.2,10.3
9.9,3.2,1,0,4.7,14.3,971.4,15.4,83,20.4,11.2,9.7
9.6,2.1,1,0,7,16.4,974.6,16.6,87,20.7,13,11.1
11.6,3.2,1,0,4.3,14.7,981.5,15.6,82,20.8,11.5,9.9
11,4.5,1,0,7.7,12.9,981.5,13.4,84,15.1,11.4,12.5
11.9,4.4,1,0,7.7,14.3,980,13.5,94,14.7,11,10.8
6.4,2.5,0,0,1.3,11.2,984.4,13.3,74,18.2,9.7,8.2
8.8,3.8,0,0,0.7,10.7,984.4,13.8,68,20,7.2,8
5.9,1.5,0,0,2.3,15.7,981.4,16,86,22,9.1,5.8
10,4.5,0,0,0.7,10.7,981.4,11.8,75,17.4,9.4,10.4
11.1,5.2,0,0,0.7,11.5,982.4,13,76,17.6,8.7,6.9
8.2,3,0,0,2,10.9,983.5,12.4,76,19,7,4.9
3.5,2.1,0,0,4,14,980.4,16.1,78,22.1,8.2,4.5
5.1,2.9,0,0,1.7,14.5,976.2,16.7,76,23.3,10.7,7.6
7,4.2,0,0,3,14.1,975,17.3,72,22.9,11.6,9.8
7,4.3,0,0,2.3,14.1,977.4,15.8,79,22,12.3,10.2
7.5,5.3,0,0,1.3,15.2,974.6,17.3,76,23.6,11.8,10.9
7.8,1.6,1,0,4,16.3,973.4,15.2,93,20.5,11.4,9.4
9.5,3.3,1,0,7.3,14.4,967.8,14.6,86,16.4,13.3,11.1
10.8,4.3,1,0,8,13.3,974.4,12.2,92,14,11.4,12.6
14.6,6,1,0,8,14.4,976.3,14.9,86,15.8,10.3,10.2
15.6,4.4,1,0,7.3,15.6,980.8,15.8,85,19.4,14.1,14.9
4.8,1.6,0,0,3.3,15.7,983.2,18,76,23.5,13.2,11.3
8,2.8,0,0,2.7,16.7,980,18.4,79,22.8,13,10.6
11.7,3.5,1,0,7.7,15.1,974,15.4,85,18.5,14.2,11.5
7,2.9,0,0,6.3,12.7,976.2,12,87,14.9,10.7,12.4
13,4,1,0,7.7,10.4,977.4,9.4,87,12.4,7.7,5.6
13.5,4.2,1,0,7.3,8.1,970.8,6,86,8.6,4.3,6
10.5,4.1,1,0,6.7,8.8,974.6,6.4,91,8.6,4.4,4.8
10.1,3.3,1,0,6,8,978.7,5,90,6.5,4.3,4
5,1.1,0,0,2.7,6.8,983.8,4.6,80,9.6,-0.5,-1.5
3.1,0.7,0,0,7.3,8,985.1,7.5,80,10.9,2.6,-1.4
13.7,3.7,0,0,2.7,9.2,988,7.8,85,11.7,4.1,1.3
7,3.1,0,0,1,8.3,990.4,7.7,80,14.4,2.2,0.6
5,1.4,0,0,3.3,9.9,990.3,8,92,13.1,1.3,-1.1
3.8,1.2,1,0,5.7,9.6,990.4,6.8,96,11,2.9,0.6
7.8,2.4,1,0,2.7,9.7,987.2,10.2,81,16.3,3.8,3.8
9.2,4.2,0,0,2.7,9.7,983.2,7.8,91,10.9,6.8,6.5
6.8,2.5,0,0,6.3,11.5,982.8,11,88,15.8,5.6,3.5
8.5,2.5,1,0,7.3,13.3,983.9,12.6,90,15.5,10.2,7.8
10.6,4,1,0,8,13.5,981.4,13,91,14.9,11.1,10.4
6.5,2.9,1,0,7.7,14.5,983.5,13.2,93,16.2,11.7,12.4
10.8,3.5,1,0,5.7,12.8,981.2,12.5,88,15.4,10.2,10
4.6,1.2,1,0,3.7,12,989,10.6,91,16.2,8.5,10.3
